 Montana	Carter County	0.3	Range Telephone Cooperative Inc
 Texas	Kenedy County	0.3	Valley Telephone Cooperative, Inc.
 Texas	Kenedy County	0.3	VTX Communications, LLC
 Montana	Powder River County	0.5	Range Telephone Cooperative Inc
 Nebraska	Sioux County	0.6	Allo Communications
 Texas	McMullen County	0.6	Valley Telephone Cooperative, Inc.
 Texas	McMullen County	0.6	VTX Communications, LLC
 Montana	Treasure County	0.7	Range Telephone Cooperative Inc
 Montana	Phillips County	0.8	NEMONT TELEPHONE COOPERATIVE INC
 Colorado	Mineral County	0.8	San Luis Valley Rural Electric Cooperative, Inc.
 Texas	Edwards County	0.9	Hill Country Telephone Cooperative, Inc.
 Idaho	Custer County	0.9	Albion Telephone Company dba ATC Communications
 Montana	Wibaux County	1.1	Reservation Telephone Cooperative
 Montana	Daniels County	1.2	NEMONT TELEPHONE COOPERATIVE INC
 Idaho	Butte County	1.3	Albion Telephone Company dba ATC Communications
 North Dakota	Grant County	1.4	West River Telecommunications Cooperative
 North Dakota	Sheridan County	1.4	West River Telecommunications Cooperative
 South Dakota	Sully County	1.4	Venture Communications Cooperative, Inc.
 North Dakota	Sheridan County	1.4	North Dakota Telephone Company
 Texas	Brewster County	1.5	Google Fiber Texas, LLC
 New Mexico	Guadalupe County	1.5	Plateau Telecommunications, Inc.
 Montana	Valley County	1.5	NEMONT TELEPHONE COOPERATIVE INC
 South Dakota	Corson County	1.6	West River Telecommunications Cooperative
 North Dakota	Divide County	1.6	Northwest Communications Cooperative, Inc.
 South Dakota	Hyde County	1.7	Venture Communications Cooperative, Inc.
 South Dakota	Hyde County	1.7	Western Telephone Company
 North Dakota	Golden Valley County	1.7	Reservation Telephone Cooperative
 North Dakota	Dunn County	1.8	West River Telecommunications Cooperative
 North Dakota	Kidder County	1.8	West River Telecommunications Cooperative
 North Dakota	Kidder County	1.8	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 North Dakota	Burke County	1.8	Northwest Communications Cooperative, Inc.
 North Dakota	Burke County	1.8	Reservation Telephone Cooperative
 North Dakota	Dunn County	1.8	Reservation Telephone Cooperative
 Montana	Rosebud County	1.8	Range Telephone Cooperative Inc
 Colorado	Saguache County	1.9	San Luis Valley Rural Electric Cooperative, Inc.
 Utah	Millard County	1.9	Utah Telecommunication Open Infrastructure Agency
 South Dakota	Campbell County	2.0	Venture Communications Cooperative, Inc.
 North Dakota	Logan County	2.0	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 South Dakota	Campbell County	2.0	Valley Telecommunications Cooperative Association, Inc
 Montana	Sheridan County	2.0	NEMONT TELEPHONE COOPERATIVE INC
 South Dakota	Stanley County	2.1	Venture Communications Cooperative, Inc.
 Wyoming	Sublette County	2.1	NGL Connection
 North Dakota	Hettinger County	2.2	West River Telecommunications Cooperative
 North Dakota	Towner County	2.2	UNITED TELEPHONE MUTUAL AID CORPORATION
 North Dakota	Towner County	2.2	Turtle Mountain Communications, Inc.
 North Dakota	Towner County	2.2	North Dakota Telephone Company
 South Dakota	McPherson County	2.2	Valley Telecommunications Cooperative Association, Inc
 Nebraska	Sheridan County	2.2	Allo Communications
 South Dakota	Dewey County	2.3	Venture Communications Cooperative, Inc.
 South Dakota	Lyman County	2.3	Venture Communications Cooperative, Inc.
 North Dakota	McKenzie County	2.3	Reservation Telephone Cooperative
 North Dakota	McKenzie County	2.3	NEMONT TELEPHONE COOPERATIVE INC
 South Dakota	Lyman County	2.3	Midstate Communications, Inc.
 Kansas	Clark County	2.3	Google Fiber Kansas, LLC
 North Dakota	Adams County	2.4	West River Telecommunications Cooperative
 South Dakota	Faulk County	2.4	Venture Communications Cooperative, Inc.
 South Dakota	Hand County	2.4	Venture Communications Cooperative, Inc.
 South Dakota	Faulk County	2.4	Western Telephone Company
 South Dakota	Hand County	2.4	Western Telephone Company
 Nevada	Nye County	2.4	Valley Communications Association, LLC
 South Dakota	Hand County	2.4	Midstate Communications, Inc.
 Kansas	Rawlins County	2.4	Rural Telephone Service Co dba Nex-Tech
 Wyoming	Crook County	2.5	Range Telephone Cooperative Inc
 Kansas	Gove County	2.5	Rural Telephone Service Co dba Nex-Tech
 North Dakota	Oliver County	2.6	West River Telecommunications Cooperative
 Montana	Big Horn County	2.6	NEMONT TELEPHONE COOPERATIVE INC
 Montana	Big Horn County	2.6	Range Telephone Cooperative Inc
 Utah	Beaver County	2.6	Utah Telecommunication Open Infrastructure Agency
 North Dakota	Cavalier County	2.7	UNITED TELEPHONE MUTUAL AID CORPORATION
 South Dakota	Potter County	2.7	Venture Communications Cooperative, Inc.
 North Dakota	Cavalier County	2.7	North Dakota Telephone Company
 North Dakota	Cavalier County	2.7	Polar Communications Mutual Aid Corporation
 Nevada	Elko County	2.8	BEEHIVE TELEPHONE CO. INC	NV
 North Dakota	Steele County	2.8	Polar Communications Mutual Aid Corporation
 North Dakota	Steele County	2.8	Griggs County Telephone Co
 North Dakota	Renville County	2.8	Reservation Telephone Cooperative
 North Dakota	McHenry County	2.9	Turtle Mountain Communications, Inc.
 North Dakota	McHenry County	2.9	North Dakota Telephone Company
 Kansas	Sheridan County	2.9	Nex-Tech, Inc.
 Colorado	Costilla County	2.9	Blanca Telephone Company Dba Blanca Networks
 Kansas	Graham County	2.9	Rural Telephone Service Co dba Nex-Tech
 Kansas	Sheridan County	2.9	Rural Telephone Service Co dba Nex-Tech
 Colorado	Costilla County	2.9	Jade Communications LLC
 Kansas	Sheridan County	2.9	Google Fiber Kansas, LLC
 Minnesota	Lake of the Woods County	3.1	Garden Valley Telephone Company
 New Mexico	Quay County	3.1	Plateau Telecommunications, Inc.
 Montana	Custer County	3.1	Range Telephone Cooperative Inc
 North Dakota	Nelson County	3.2	North Dakota Telephone Company
 North Dakota	Nelson County	3.2	Polar Communications Mutual Aid Corporation
 North Dakota	Nelson County	3.2	Griggs County Telephone Co
 North Dakota	Wells County	3.3	West River Telecommunications Cooperative
 North Dakota	Wells County	3.3	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 North Dakota	Wells County	3.3	North Dakota Telephone Company
 Kansas	Decatur County	3.3	Nex-Tech, Inc.
 Kansas	Decatur County	3.3	Rural Telephone Service Co dba Nex-Tech
 Wyoming	Converse County	3.3	CenturyLink, Inc.
 Kansas	Decatur County	3.3	Google Fiber Kansas, LLC
 North Dakota	Griggs County	3.4	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 North Dakota	Griggs County	3.4	North Dakota Telephone Company
 North Dakota	Griggs County	3.4	Polar Communications Mutual Aid Corporation
 Mississippi	Issaquena County	3.4	Telepak Networks, Inc.
 North Dakota	Griggs County	3.4	Griggs County Telephone Co
 Kansas	Jewell County	3.4	Rural Telephone Service Co dba Nex-Tech
 Kansas	Trego County	3.4	Rural Telephone Service Co dba Nex-Tech
 Nebraska	Morrill County	3.5	Allo Communications
 South Dakota	Edmunds County	3.6	Venture Communications Cooperative, Inc.
 South Dakota	Edmunds County	3.6	Western Telephone Company
 North Dakota	LaMoure County	3.6	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 South Dakota	Edmunds County	3.6	Valley Telecommunications Cooperative Association, Inc
 Idaho	Oneida County	3.6	Albion Telephone Company dba ATC Communications
 Texas	Kimble County	3.7	Hill Country Telephone Cooperative, Inc.
 New Mexico	Colfax County	3.7	Sierra Communications
 North Dakota	Sioux County	3.8	West River Telecommunications Cooperative
 South Dakota	Aurora County	3.8	Venture Communications Cooperative, Inc.
 North Dakota	Eddy County	3.8	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 North Dakota	Eddy County	3.8	North Dakota Telephone Company
 North Dakota	Eddy County	3.8	Griggs County Telephone Co
 South Dakota	Aurora County	3.8	Midstate Communications, Inc.
 South Dakota	Jerauld County	3.9	Venture Communications Cooperative, Inc.
 North Dakota	Bottineau County	3.9	Turtle Mountain Communications, Inc.
 South Dakota	Jerauld County	3.9	Midstate Communications, Inc.
 South Dakota	Buffalo County	4.1	Venture Communications Cooperative, Inc.
 Minnesota	Kittson County	4.1	Wikstrom Telephone Company, Inc.
 Minnesota	Kittson County	4.1	Polar Communications Mutual Aid Corporation
 Wyoming	Park County	4.1	NEMONT TELEPHONE COOPERATIVE INC
 South Dakota	Buffalo County	4.1	Midstate Communications, Inc.
 Colorado	Yuma County	4.2	Phillips County Telephone Company
 Colorado	Huerfano County	4.2	SECOM Inc
 North Dakota	McLean County	4.2	West River Telecommunications Cooperative
 North Dakota	Mountrail County	4.2	Northwest Communications Cooperative, Inc.
 North Dakota	McLean County	4.2	Reservation Telephone Cooperative
 North Dakota	Mountrail County	4.2	Reservation Telephone Cooperative
 South Dakota	Gregory County	4.2	Midstate Communications, Inc.
 Wyoming	Sweetwater County	4.2	CenturyLink, Inc.
 New Mexico	Lincoln County	4.2	Valor Telecommunications of Texas, LLC
 Colorado	Sedgwick County	4.3	Phillips County Telephone Company
 South Dakota	Spink County	4.3	Venture Communications Cooperative, Inc.
 North Dakota	Pierce County	4.3	Turtle Mountain Communications, Inc.
 North Dakota	Pierce County	4.3	North Dakota Telephone Company
 Texas	Mason County	4.3	Hill Country Telephone Cooperative, Inc.
 Kansas	Smith County	4.3	Nex-Tech, Inc.
 Minnesota	Koochiching County	4.3	Paul Bunyan Rural Telephone Cooperative
 Kansas	Osborne County	4.3	Rural Telephone Service Co dba Nex-Tech
 Kansas	Smith County	4.3	Rural Telephone Service Co dba Nex-Tech
 Kansas	Smith County	4.3	Google Fiber Kansas, LLC
 Wyoming	Fremont County	4.4	Northern Arapaho Tribal Industries
 Montana	Roosevelt County	4.4	NEMONT TELEPHONE COOPERATIVE INC
 North Dakota	Sargent County	4.5	Venture Communications Cooperative, Inc.
 North Dakota	Sargent County	4.5	Red River Rural Telephone Association, Inc.
 Kansas	Rush County	4.6	Nex-Tech, Inc.
 Texas	La Salle County	4.6	Valley Telephone Cooperative, Inc.
 Texas	La Salle County	4.6	VTX Communications, LLC
 Kansas	Kearny County	4.6	Google Fiber Kansas, LLC
 Kansas	Rush County	4.6	Google Fiber Kansas, LLC
 California	Mono County	4.7	Race Telecommunications, Inc.
 Texas	Real County	4.7	Hill Country Telephone Cooperative, Inc.
 Montana	Richland County	4.7	Reservation Telephone Cooperative
 Montana	Richland County	4.7	NEMONT TELEPHONE COOPERATIVE INC
 Texas	Real County	4.7	En-Touch Systems, Inc.
 Texas	Jim Hogg County	4.7	Valley Telephone Cooperative, Inc.
 Texas	Jim Hogg County	4.7	VTX Communications, LLC
 North Dakota	Benson County	4.8	North Dakota Telephone Company
 New Mexico	Torrance County	4.9	Plateau Telecommunications, Inc.
 Texas	Martin County	5.2	AT&T Services, Inc.
 Minnesota	Marshall County	5.3	Garden Valley Telephone Company
 North Dakota	Foster County	5.3	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 North Dakota	Foster County	5.3	North Dakota Telephone Company
 Minnesota	Marshall County	5.3	Wikstrom Telephone Company, Inc.
 Minnesota	Marshall County	5.3	Polar Communications Mutual Aid Corporation
 North Dakota	Foster County	5.3	Griggs County Telephone Co
 Wyoming	Teton County	5.3	CenturyLink, Inc.
 Montana	Lincoln County	5.4	InterBel Telephone Cooperative, Inc.
 Oregon	Morrow County	5.5	Eastern Oregon Telecom, LLC
 South Dakota	Day County	5.6	Venture Communications Cooperative, Inc.
 South Dakota	Marshall County	5.6	Venture Communications Cooperative, Inc.
 South Dakota	Marshall County	5.6	Red River Rural Telephone Association, Inc.
 Kansas	Rooks County	5.8	Nex-Tech, Inc.
 Kansas	Rooks County	5.8	Rural Telephone Service Co dba Nex-Tech
 New Mexico	San Miguel County	6.2	Plateau Telecommunications, Inc.
 Minnesota	Traverse County	6.2	RUNESTONE TELEPHONE ASSOCIATION
 Minnesota	Traverse County	6.2	Red River Rural Telephone Association, Inc.
 Nebraska	Harlan County	6.2	Rural Telephone Service Co dba Nex-Tech
 North Dakota	Ransom County	6.3	Red River Rural Telephone Association, Inc.
 North Dakota	Ransom County	6.3	Griggs County Telephone Co
 Kansas	Phillips County	6.4	Nex-Tech, Inc.
 South Dakota	Brule County	6.4	Midstate Communications, Inc.
 Colorado	Conejos County	6.4	San Luis Valley Rural Electric Cooperative, Inc.
 Kansas	Phillips County	6.4	Rural Telephone Service Co dba Nex-Tech
 Colorado	Conejos County	6.4	Jade Communications LLC
 Colorado	Phillips County	6.5	Phillips County Telephone Company
 Kansas	Washington County	6.5	AT&T Services, Inc.
 Kansas	Norton County	6.5	Nex-Tech, Inc.
 Kansas	Norton County	6.5	Rural Telephone Service Co dba Nex-Tech
 Kansas	Norton County	6.5	Google Fiber Kansas, LLC
 Kansas	Washington County	6.5	Twin Valley Telephone Inc
 North Dakota	Pembina County	6.6	UNITED TELEPHONE MUTUAL AID CORPORATION
 North Dakota	Pembina County	6.6	Polar Communications Mutual Aid Corporation
 Texas	Duval County	6.6	Valley Telephone Cooperative, Inc.
 Texas	Duval County	6.6	VTX Communications, LLC
 Washington	Skamania County	6.7	WaveDivision Holdings, LLC
 Montana	Jefferson County	6.9	The Montana Internet Corporation
 Kansas	Republic County	6.9	Rural Telephone Service Co dba Nex-Tech
 Nebraska	Furnas County	6.9	Rural Telephone Service Co dba Nex-Tech
 Kansas	Republic County	6.9	Google Fiber Kansas, LLC
 Kansas	Republic County	6.9	Twin Valley Telephone Inc
 South Dakota	Douglas County	7.0	Midstate Communications, Inc.
 Oregon	Crook County	7.0	CenturyLink, Inc.
 South Dakota	Meade County	7.3	CenturyLink, Inc.
 North Dakota	Barnes County	7.4	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 North Dakota	Barnes County	7.4	Griggs County Telephone Co
 Kansas	Thomas County	7.4	Rural Telephone Service Co dba Nex-Tech
 Colorado	Prowers County	7.7	SECOM Inc
 South Dakota	Walworth County	7.7	West River Telecommunications Cooperative
 South Dakota	Walworth County	7.7	Venture Communications Cooperative, Inc.
 California	Lassen County	7.7	Plumas-Sierra Telecommunications
 South Dakota	Walworth County	7.7	Valley Telecommunications Cooperative Association, Inc
 Texas	Brooks County	7.7	VTX Telecom, LLC
 Texas	Brooks County	7.7	Valley Telephone Cooperative, Inc.
 Texas	Brooks County	7.7	VTX Communications, LLC
 California	Plumas County	7.8	Plumas-Sierra Telecommunications
 Minnesota	Norman County	7.9	Garden Valley Telephone Company
 Minnesota	Norman County	7.9	Halstad Telephone Company
 Nebraska	Keith County	7.9	Allo Communications
 Minnesota	Norman County	7.9	Twin Valley-Ulen Telephone co
 Minnesota	Norman County	7.9	Loretel Systems Inc
 Kansas	Russell County	7.9	Rural Telephone Service Co dba Nex-Tech
 North Dakota	Mercer County	8.1	West River Telecommunications Cooperative
 New Mexico	Roosevelt County	8.1	Yucca Telecommunications Systems
 Missouri	Worth County	8.1	Grand River Mutual Telephone Corp
 Missouri	Mercer County	8.3	Grand River Mutual Telephone Corp
 South Dakota	Charles Mix County	8.3	Midstate Communications, Inc.
 Missouri	Shannon County	8.4	Sho-Me Technologies, LLC
 Nebraska	Cheyenne County	8.4	Allo Communications
 Utah	Tooele County	8.4	CenturyLink, Inc.
 Utah	Tooele County	8.4	Wirelessbeehive.com
 Kansas	Ottawa County	8.5	Twin Valley Communications, Inc
 Wyoming	Albany County	8.5	LARIAT
 Wyoming	Albany County	8.5	CenturyLink, Inc.
 Kansas	Ottawa County	8.5	Twin Valley Telephone Inc
 Minnesota	Clearwater County	8.7	Garden Valley Telephone Company
 Utah	Box Elder County	8.7	Veracity Networks
 North Dakota	Walsh County	8.7	Polar Communications Mutual Aid Corporation
 Minnesota	Clearwater County	8.7	Paul Bunyan Rural Telephone Cooperative
 Minnesota	Clearwater County	8.7	Twin Valley-Ulen Telephone co
 Minnesota	Clearwater County	8.7	East Otter Tail Telephone Company
 Utah	Box Elder County	8.7	CenturyLink, Inc.
 Utah	Box Elder County	8.7	Utah Telecommunication Open Infrastructure Agency
 Utah	Box Elder County	8.7	Wirelessbeehive.com
 Minnesota	Wilkin County	8.8	Polar Communications Mutual Aid Corporation
 Minnesota	Wilkin County	8.8	RUNESTONE TELEPHONE ASSOCIATION
 Minnesota	Wilkin County	8.8	Red River Rural Telephone Association, Inc.
 Idaho	Cassia County	8.9	Albion Telephone Company dba ATC Communications
 South Dakota	Hutchinson County	9.0	Midstate Communications, Inc.
 Kansas	Mitchell County	9.1	Rural Telephone Service Co dba Nex-Tech
 South Dakota	Roberts County	9.2	Venture Communications Cooperative, Inc.
 South Dakota	Roberts County	9.2	Red River Rural Telephone Association, Inc.
 Kansas	Pawnee County	9.2	Google Fiber Kansas, LLC
 Minnesota	Roseau County	9.3	Wikstrom Telephone Company, Inc.
 West Virginia	Pocahontas County	9.3	Citynet Holdings, LLC
 North Dakota	Traill County	9.4	Halstad Telephone Company
 North Dakota	Traill County	9.4	Polar Communications Mutual Aid Corporation
 Minnesota	Red Lake County	9.5	Garden Valley Telephone Company
 Iowa	Adams County	9.5	The Farmers Mutual Telephone Company of Stanton, Iowa
 Iowa	Adams County	9.5	Villisca Farmers Telephone Company
 North Dakota	Stutsman County	9.5	Daktel Communications, LLC
 North Dakota	Stutsman County	9.5	DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE
 Minnesota	Red Lake County	9.5	Halstad Telephone Company
 North Dakota	Ramsey County	9.6	North Dakota Telephone Company
 North Dakota	Ramsey County	9.6	Polar Communications Mutual Aid Corporation
 Missouri	Putnam County	9.6	Grand River Mutual Telephone Corp
 Iowa	Ringgold County	9.6	Grand River Mutual Telephone Corp
 Wyoming	Campbell County	9.6	CenturyLink, Inc.
 Minnesota	Mahnomen County	9.7	Garden Valley Telephone Company
 Minnesota	Mahnomen County	9.7	Twin Valley-Ulen Telephone co
 Colorado	Routt County	10.0	CenturyLink, Inc.
 Wyoming	Uinta County	10.1	NGL Connection
 Wisconsin	Bayfield County	10.2	Chequamegon Communications Cooperative, Inc.
 Missouri	Sullivan County	10.4	Grand River Mutual Telephone Corp
 Missouri	Chariton County	10.4	Sho-Me Technologies, LLC
 Nebraska	Box Butte County	10.5	Allo Communications
 Missouri	Holt County	10.6	Grand River Mutual Telephone Corp
 Oregon	Wasco County	10.6	QualityLife Intergovernmental Agency
 Missouri	Holt County	10.6	United Services, Inc.
 New Mexico	Chaves County	10.8	Plateau Telecommunications, Inc.
 North Dakota	Williams County	10.8	Northwest Communications Cooperative, Inc.
 North Dakota	Williams County	10.8	Reservation Telephone Cooperative
 North Dakota	Williams County	10.8	NEMONT TELEPHONE COOPERATIVE INC
 Maine	Aroostook County	10.8	Pioneer Wireless, Inc.
 Utah	Sevier County	10.9	CenturyLink, Inc.
 Minnesota	Grant County	11.0	A Better Wireless, NISP, LLC
 Minnesota	Grant County	11.0	Gardonville Coop.  Tele. Assn.
 Minnesota	Grant County	11.0	RUNESTONE TELEPHONE ASSOCIATION
 Texas	Live Oak County	11.1	VTX Telecom, LLC
 Texas	Live Oak County	11.1	Valley Telephone Cooperative, Inc.
 Texas	Live Oak County	11.1	VTX Communications, LLC
 Wisconsin	Price County	11.3	Price County Telephone Company
 North Carolina	Tyrrell County	11.3	CenturyLink, Inc.
 North Dakota	Richland County	11.4	Venture Communications Cooperative, Inc.
 North Dakota	Richland County	11.4	Polar Communications Mutual Aid Corporation
 North Dakota	Richland County	11.4	Red River Rural Telephone Association, Inc.
 Mississippi	Sharkey County	11.4	Telepak Networks, Inc.
 North Dakota	Richland County	11.4	Griggs County Telephone Co
 Wyoming	Sheridan County	11.5	Range Telephone Cooperative Inc
 Oklahoma	Coal County	11.5	360 Communications, INC
 Iowa	Taylor County	11.9	The Farmers Mutual Telephone Company of Stanton, Iowa
 Iowa	Taylor County	11.9	Villisca Farmers Telephone Company
 Iowa	Wayne County	12.2	Grand River Mutual Telephone Corp
 Missouri	Carter County	12.3	Sho-Me Technologies, LLC
 Colorado	Logan County	12.4	Kentec Communications, Inc.
 Missouri	Harrison County	12.4	Grand River Mutual Telephone Corp
 Missouri	Harrison County	12.4	Sho-Me Technologies, LLC
 Colorado	Elbert County	12.5	CenturyLink, Inc.
 Oregon	Union County	12.6	Eastern Oregon Net, Inc.
 Iowa	Pocahontas County	12.7	Lehigh Valley Cooperative Telephone Association
 Maine	Washington County	12.8	Biddeford Internet Corporation
 Maine	Washington County	12.8	Pioneer Wireless, Inc.
 Colorado	Rio Grande County	13.1	SECOM Inc
 Missouri	Ozark County	13.1	Sho-Me Technologies, LLC
 Kansas	Pratt County	13.1	Fiber Communications of Columbus LLC dba Optic Communications
 Colorado	Rio Grande County	13.1	San Luis Valley Rural Electric Cooperative, Inc.
 Wisconsin	Sawyer County	13.2	Price County Telephone Company
 Wisconsin	Sawyer County	13.2	Chequamegon Communications Cooperative, Inc.
 Kansas	Clay County	13.2	Twin Valley Communications, Inc
 Kansas	Clay County	13.2	Twin Valley Telephone Inc
 Kansas	Cloud County	13.3	Twin Valley Telephone Inc
 Missouri	Carroll County	13.4	Sho-Me Technologies, LLC
 Kansas	Marion County	13.4	Moundridge Telephone Co.
 Iowa	Adair County	13.5	The Farmers Mutual Telephone Company of Stanton, Iowa
 Iowa	Adair County	13.5	Villisca Farmers Telephone Company
 Mississippi	Kemper County	13.6	Telepak Networks, Inc.
 Missouri	Gentry County	13.7	Grand River Mutual Telephone Corp
 Missouri	Gentry County	13.7	Sho-Me Technologies, LLC
 Missouri	Gentry County	13.7	United Services, Inc.
 South Dakota	Beadle County	13.8	Venture Communications Cooperative, Inc.
 Missouri	Oregon County	13.8	Sho-Me Technologies, LLC
 Minnesota	Yellow Medicine County	13.8	Redwood County Telephone Company
 Utah	Iron County	14.0	Go Fiber
 Nebraska	Burt County	14.0	Hooper Telephone Company
 Utah	Iron County	14.0	CenturyLink, Inc.
 Utah	Iron County	14.0	Utah Telecommunication Open Infrastructure Agency
 Minnesota	Cass County	14.1	West Central Telephone Assoc.
 Minnesota	Cass County	14.1	Arvig
 Minnesota	Cass County	14.1	Paul Bunyan Rural Telephone Cooperative
 Minnesota	Cass County	14.1	Tekstar Communications, Inc.
 Wyoming	Natrona County	14.1	CenturyLink, Inc.
 Nebraska	Lincoln County	14.2	Allo Communications
 North Dakota	Morton County	14.3	West River Telecommunications Cooperative
 North Dakota	Morton County	14.3	CenturyLink, Inc.
 Pennsylvania	Sullivan County	14.3	PenTeleData Limited Partnership I
 Missouri	Schuyler County	14.4	Google Fiber Missouri, LLC
 Mississippi	Franklin County	14.4	Telepak Networks, Inc.
 Utah	Carbon County	14.5	Emery Telephone
 Arkansas	Lafayette County	14.5	Southwest Arkansas Telephone Cooperative Inc
 Iowa	Fremont County	14.6	The Farmers Mutual Telephone Company of Stanton, Iowa
 Iowa	Fremont County	14.6	Farmers Telephone Company
 Mississippi	Wilkinson County	14.6	Telepak Networks, Inc.
 Missouri	St. Clair County	14.6	Sho-Me Technologies, LLC
 New Mexico	Lea County	14.7	Valor Telecommunications of Texas, LLC
 Mississippi	Jefferson County	14.9	Telepak Networks, Inc.
 Texas	Comanche County	14.9	Totelcom Communications, LLC
 Michigan	Gogebic County	14.9	Upper Peninsula Telephone Co
 Missouri	Daviess County	15.0	Google Fiber Missouri, LLC
 Missouri	Daviess County	15.0	Grand River Mutual Telephone Corp
 Alabama	Choctaw County	15.2	Google Fiber Alabama, LLC
 Texas	Frio County	15.2	VTX Telecom, LLC
 Texas	Frio County	15.2	Valley Telephone Cooperative, Inc.
 Texas	Frio County	15.2	VTX Communications, LLC
 North Dakota	Rolette County	15.4	Turtle Mountain Communications, Inc.
 North Dakota	Rolette County	15.4	North Dakota Telephone Company
 Nebraska	Red Willow County	15.4	Allo Communications
 Texas	Newton County	15.5	Google Fiber Texas, LLC
 Wisconsin	Ashland County	15.5	Chequamegon Communications Cooperative, Inc.
 Utah	Morgan County	15.5	CenturyLink, Inc.
 Iowa	Van Buren County	15.6	Danville Mutual Telephone Company
 Georgia	Charlton County	15.7	Brantley Telephone Company Inc
 Iowa	Decatur County	15.9	Grand River Mutual Telephone Corp
 Minnesota	Polk County	16.0	Garden Valley Telephone Company
 Minnesota	Renville County	16.0	RS Fiber Cooperative
 Minnesota	Polk County	16.0	Halstad Telephone Company
 Pennsylvania	Potter County	16.1	PenTeleData Limited Partnership I
 Alabama	Washington County	16.3	Telepak Networks, Inc.
 Kansas	Linn County	16.3	Craw Kan Telephone Cooperative Inc
 Kansas	Linn County	16.3	Google Fiber Kansas, LLC
 Iowa	Greene County	16.4	Farmers Cooperative Telephone Company
 Iowa	Greene County	16.4	Lehigh Valley Cooperative Telephone Association
 Minnesota	Pope County	16.4	RUNESTONE TELEPHONE ASSOCIATION
 Mississippi	Noxubee County	16.6	Telepak Networks, Inc.
 Texas	San Augustine County	16.7	Google Fiber Texas, LLC
 Missouri	Douglas County	16.8	Sho-Me Technologies, LLC
 Mississippi	Carroll County	16.9	AT&T Services, Inc.
 Mississippi	Carroll County	16.9	Telepak Networks, Inc.
 Minnesota	Itasca County	16.9	Paul Bunyan Rural Telephone Cooperative
 Minnesota	Itasca County	16.9	Peoples Telephone Company
 Texas	Uvalde County	17.0	Hill Country Telephone Cooperative, Inc.
 Iowa	Calhoun County	17.0	Lehigh Valley Cooperative Telephone Association
 Texas	Uvalde County	17.0	En-Touch Systems, Inc.
 Illinois	Schuyler County	17.3	Adams Telephone Co-Operative
 Minnesota	Stevens County	17.3	RUNESTONE TELEPHONE ASSOCIATION
 Missouri	Maries County	17.4	Sho-Me Technologies, LLC
 Alabama	Bullock County	17.5	Troy Cablevision, Inc.
 Utah	Sanpete County	17.5	Manti Telephone Co
 Kansas	Brown County	17.5	Google Fiber Kansas, LLC
 Minnesota	Beltrami County	17.7	Garden Valley Telephone Company
 Alabama	Coosa County	17.7	AT&T Services, Inc.
 Minnesota	Beltrami County	17.7	Paul Bunyan Rural Telephone Cooperative
 Minnesota	Beltrami County	17.7	CenturyLink, Inc.
 Missouri	Wayne County	17.8	Sho-Me Technologies, LLC
 Montana	Flathead County	17.9	Blackfoot Communications, Inc.
 Montana	Flathead County	17.9	CenturyLink, Inc.
 Mississippi	Amite County	18.0	Telepak Networks, Inc.
 North Dakota	Stark County	18.1	West River Telecommunications Cooperative
 Iowa	Keokuk County	18.1	Danville Mutual Telephone Company
 North Dakota	Stark County	18.1	Reservation Telephone Cooperative
 Maine	Franklin County	18.1	Biddeford Internet Corporation
 North Dakota	Stark County	18.1	CenturyLink, Inc.
 Minnesota	Redwood County	18.3	Redwood County Telephone Company
 Montana	Lewis and Clark County	18.3	The Montana Internet Corporation
 Montana	Lewis and Clark County	18.3	CenturyLink, Inc.
 Iowa	Monroe County	18.4	The Farmers Mutual Telephone Company of Stanton, Iowa
 Iowa	Franklin County	18.4	Dumont Telephone Company
 Colorado	Montrose County	18.4	DMEA Utilities Services, LLC
 Iowa	Monroe County	18.4	Grand River Mutual Telephone Corp
 Oklahoma	Nowata County	18.6	NORTHEAST RURAL SERVICES
 Mississippi	Perry County	18.9	Telepak Networks, Inc.
 Utah	Summit County	19.4	Veracity Networks
 Utah	Summit County	19.4	CenturyLink, Inc.
 Utah	Summit County	19.4	COMCAST CABLE COMMUNICATIONS, LLC
 Utah	Summit County	19.4	Wirelessbeehive.com
 Mississippi	Claiborne County	19.7	Telepak Networks, Inc.
 Oklahoma	Craig County	19.7	NORTHEAST RURAL SERVICES
 Illinois	Pike County	19.8	Adams Telephone Co-Operative
 Illinois	Pike County	19.8	Adams Telsystems Inc.
 Wisconsin	Washburn County	20.0	CTC Telecom
 Missouri	Bollinger County	20.0	Sho-Me Technologies, LLC
 Utah	Wasatch County	20.0	CenturyLink, Inc.
 Mississippi	Greene County	20.2	AT&T Services, Inc.
 Iowa	Howard County	20.2	Hawkeye Telephone Company
